"","X","coefficients","r_squared","p_value","gene","p_adj"
"87",87,0.616210457835947,0.091030725113569,5.60170716073599e-15,"GALNTL6",1.94450064660031e-14
"88",88,0.0715353744424323,0.0905043693981191,6.76070178627389e-15,"RP11.318K12.2",2.32014993119854e-14
"89",89,0.184962284545935,0.0899428343162727,8.26186335906988e-15,"SLC35F1",2.80346374656079e-14
"90",90,0.097878649565693,0.0898562211985551,8.52131230512502e-15,"SPOCK2",2.85937368460862e-14
"91",91,0.0786016206636126,0.0894768066866339,9.75704284145383e-15,"ATP6AP2",3.23805158035061e-14
"92",92,0.109082760330872,0.0894031010558621,1.00170695789095e-14,"TXNRD1",3.28821197046812e-14
"93",93,0.269255640381004,0.0883163081516851,1.47596557829535e-14,"CNTNAP5",4.79292048005587e-14
"94",94,0.0724703893839972,0.0874928649602869,1.97929237332316e-14,"VDAC3",6.35900315684675e-14
"95",95,0.36922493645329,0.0872422656874333,2.16407879766635e-14,"CSMD3",6.87949259889724e-14
"96",96,0.129099810347874,0.0864217978663658,2.89816389818528e-14,"SMARCA2",9.11714059637453e-14
"97",97,0.0873728685850173,0.0859124407886426,3.47396770779571e-14,"USP11",1.08158582242712e-13
"98",98,0.0809602208250795,0.0855793053223695,3.91093327980884e-14,"ATXN10",1.20520596990028e-13
"99",99,0.286028149465155,0.0851430785036978,4.5670402529117e-14,"KCNC2",1.3931779357367e-13
"100",100,0.0704027599660736,0.0838880150502759,7.13301819049827e-14,"GABARAPL2",2.15417149353048e-13
"101",101,0.0646267735643954,0.0837096948999452,7.59920352374038e-14,"SPCS1",2.27223709323722e-13
"102",102,0.089423126615267,0.0836404486961918,7.78832034681764e-14,"BEX1",2.30595367131267e-13
"103",103,0.073383255806277,0.0834826984566782,8.2368624893165e-14,"RPS13",2.41508006968309e-13
"104",104,1.07348010129256,0.0831873323061828,9.14713108724155e-14,"ROBO2",2.6561861426413e-13
