"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIAP",6.59964181674791e-07,-0.763328509396517,0.054,0.142,0.0149270698611204
"LYPLAL1",6.76179401829077e-07,-0.269629169043342,0.061,0.155,0.0152938257105701
"ELAVL4",6.81296766432992e-07,-0.30646309206054,0.138,0.265,0.0154095702631814
"PREX2",6.88059437339051e-07,-0.27933645341181,0.086,0.193,0.0155625283537347
"GGPS1",6.89009484209429e-07,-0.694835080271353,0.029,0.102,0.0155840165138489
"LYRM2",6.89841646375034e-07,-0.775688617167673,0.038,0.117,0.0156028383577105
"JAK2",6.9348831890326e-07,-0.276065233951185,0.095,0.204,0.0156853187969539
"SESN1",6.95270993435581e-07,-0.397421142329097,0.118,0.236,0.015725639329526
"GLRB",7.05569421780048e-07,-0.564968830619725,0.072,0.17,0.0159585691818211
"ZMYND11",7.0760230712966e-07,-0.346534615056333,0.15,0.28,0.0160045489826587
"REEP1",7.14059135828657e-07,-0.484930156331613,0.113,0.228,0.0161505895341726
"FGGY",7.15919418530408e-07,-0.520331533211959,0.048,0.135,0.0161926654083208
"ADAMTS6",7.20156972748114e-07,-0.899218512593807,0.059,0.149,0.0162885104096168
"RPS7",7.3174063990106e-07,-0.622888435646696,0.107,0.221,0.0165505097932822
"RP11-317J19.1",7.45149956403464e-07,-0.819358160985048,0.045,0.126,0.0168538017139335
"MOB3B",7.53225573967181e-07,-0.296799144436186,0.084,0.187,0.0170364560319897
"PDHX",7.56942196959852e-07,-0.64637091103539,0.072,0.168,0.0171205186108379
"GUCY1A3",7.61155711253678e-07,-0.934252437038575,0.043,0.124,0.0172158198771357
"GALNT7",7.65247097181224e-07,-0.764211673469194,0.086,0.189,0.0173083588440449
"ORC4",7.65459030534024e-07,-0.528051160029948,0.102,0.214,0.0173131523526186
"CA2",7.71928332505304e-07,2.34740255543014,0.116,0.044,0.017459475024605
"ANKFN1",7.81024434080469e-07,-0.916043919502783,0.043,0.124,0.017665210650032
"CISD1",7.82362444078116e-07,-0.549373137262528,0.081,0.183,0.0176954737601588
"LYPD6",7.84252590261044e-07,-0.620175961942143,0.041,0.12,0.0177382250865243
"TTN-AS1",7.86054334898924e-07,-0.250598677125367,0.1,0.211,0.0177789769467439
"GAK",7.89407098220544e-07,2.35444870623711,0.161,0.079,0.0178548097475523
"MIR100HG",7.94800844259405e-07,-0.712882092410795,0.029,0.101,0.0179768054954592
"LHFPL4",8.1953469487666e-07,-0.540967169672795,0.107,0.223,0.0185362357287203
"VDAC2",8.2754469443739e-07,-0.522450038317973,0.041,0.122,0.0187174058987849
"SNHG24",8.29961122609223e-07,-1.15758015636288,0.034,0.11,0.0187720606711754
"NUTM2B-AS1",8.37501620690666e-07,-0.664970685547558,0.127,0.242,0.0189426116567815
"SCN9A",8.54335673983783e-07,-1.04878350627229,0.05,0.135,0.0193233642741652
"TMTC1",8.57524344041147e-07,-0.764326898491383,0.129,0.243,0.0193954856135227
"CIT",8.62214209752849e-07,-0.304963750668699,0.174,0.309,0.0195015609961899
"FAM3C",8.80016013004451e-07,-0.778040052874958,0.055,0.145,0.0199042021821347
"GOT1",8.86310424825237e-07,-0.606678853466252,0.057,0.148,0.0200465691886972
"TIAM2",9.03765202306343e-07,-0.285002695123751,0.129,0.249,0.0204413613457649
"ERO1A",9.17716255977564e-07,-0.526778721035448,0.05,0.136,0.0207569062777005
"EYS",9.28553918118608e-07,-0.758133429391115,0.039,0.119,0.0210020325200067
"RPS4X",9.3607249716481e-07,-0.438097224971273,0.123,0.242,0.0211720877408737
"TRIM36",9.37585792409684e-07,-1.24815505694368,0.034,0.108,0.0212063154527222
"GSAP",9.38181853879815e-07,-0.500649735910257,0.047,0.129,0.0212197971710537
"AGK",9.40471807160537e-07,-1.13055348064271,0.036,0.113,0.021271591334357
"PCNXL4",9.47338918336888e-07,-0.540814844055541,0.109,0.221,0.0214269116549437
"MAPKAP1",9.60571958726058e-07,-0.850863325406142,0.079,0.177,0.021726216562466
"TRPS1",9.62093582799861e-07,-0.429900577412559,0.114,0.231,0.0217606326557673
"XPR1",9.67693041736818e-07,-0.609874097604624,0.089,0.195,0.0218872812180033
"SNRK",9.78724938771026e-07,-0.757828824160749,0.055,0.142,0.0221368006651231
"PPM1L",9.82377276999855e-07,-0.611704253043085,0.143,0.266,0.0222194092511827
"ULK2",9.82669756873729e-07,-0.599948413905298,0.116,0.231,0.02222602456097
"TM7SF2",9.82755331881631e-07,-0.590020352955205,0.034,0.111,0.0222279600964987
"ORMDL1",9.86515137880572e-07,-0.887862858830252,0.048,0.132,0.0223129993885828
"NR6A1",9.91479337846904e-07,-0.516646425569085,0.127,0.245,0.0224252796634213
"ASAH1",1.00653355917831e-06,-0.689580223963884,0.068,0.163,0.0227657760414951
"ALDH7A1",1.00819955009817e-06,-0.801875529960086,0.036,0.113,0.0228034574241204
"ANKRD30B",1.01353055764168e-06,-1.16410673026465,0.032,0.105,0.0229240341527395
"RHBDD1",1.03721801148032e-06,-1.03451195918608,0.034,0.108,0.0234597969836619
"PHKB",1.04474318253431e-06,-0.749999245830542,0.098,0.205,0.0236300013025611
"LHFP",1.054609707062e-06,-0.321564086969114,0.098,0.208,0.0238531623543284
"ANKRD29",1.078258299507e-06,-1.27816274713381,0.041,0.12,0.0243880462182493
"PHLDB1",1.08204356436385e-06,1.87235480700713,0.252,0.167,0.0244736613387815
"GRIA4",1.08299490545221e-06,-0.322436485018441,0.453,0.641,0.0244951787715181
"ARMC2",1.08426479055991e-06,-0.484125389688089,0.061,0.151,0.0245239010328839
"PCDH17",1.09142433989129e-06,-0.656860460210396,0.063,0.154,0.0246858357196612
"ADCY1",1.09341124591758e-06,-0.349372147310828,0.102,0.212,0.0247307755601637
"PDXDC1",1.11469192948194e-06,-0.400568968827379,0.202,0.346,0.0252121020610226
"DPP7",1.12188900071151e-06,1.73613865180871,0.252,0.163,0.0253748854180929
"TMEM50A",1.1222487867713e-06,-0.289266469738905,0.048,0.132,0.0253830230591934
"CNDP1",1.14257384206524e-06,1.7898428642396,0.182,0.097,0.0258427351598315
"PIK3C2A",1.14443259440654e-06,-0.388965649478563,0.088,0.19,0.0258847764202871
"ISCU",1.14865427282911e-06,-0.400759740201257,0.079,0.18,0.0259802623428489
"LGI1",1.15553369885284e-06,-0.34874338438034,0.073,0.171,0.0261358612006535
"SLIRP",1.16406383673192e-06,-0.490417103842671,0.066,0.158,0.0263287958592026
"CCNT2",1.19596621792927e-06,-0.571946613514368,0.079,0.179,0.0270503639171243
"UGP2",1.19932509960707e-06,-0.710422442977761,0.082,0.182,0.0271263351029126
"SKIV2L2",1.25363380905384e-06,-0.524104067358153,0.081,0.182,0.0283546894931797
"UBAP1",1.27706292756758e-06,-0.560091497533747,0.064,0.158,0.0288846092957236
"SLCO3A1",1.28236458024507e-06,-0.254859280857599,0.22,0.378,0.0290045220759831
"SPATA6L",1.29143516647739e-06,-0.324825204707127,0.059,0.149,0.0292096805953857
"ERH",1.33392216988289e-06,-0.809836774663989,0.054,0.139,0.0301706516384111
"PIK3CB",1.3783948354516e-06,-0.390748953301305,0.116,0.233,0.0311765343882443
"OLFM2",1.40574404070324e-06,-0.494831257501173,0.082,0.183,0.0317951187126259
"ABCA8",1.41287728987276e-06,2.5404417140714,0.127,0.054,0.0319564585423421
"FIGN",1.42386264681205e-06,-0.272301014958824,0.132,0.255,0.0322049253455949
"RP11-323I15.5",1.46578974163692e-06,-1.08990460533249,0.045,0.124,0.0331532323763438
"TBC1D9",1.50042567409777e-06,-0.665800836788803,0.054,0.139,0.0339366278967433
"SELT",1.50704516664251e-06,-0.303253486791146,0.072,0.168,0.0340863475791204
"COX20",1.51500160770173e-06,-0.98092451801923,0.03,0.101,0.0342663063629978
"COL11A1",1.51980072075501e-06,-0.968346055617333,0.047,0.126,0.0343748527020367
"TFB1M",1.52691426448271e-06,-0.983451776030313,0.034,0.107,0.03453574683407
"UQCRHL",1.52886618862e-06,-0.786364905925874,0.039,0.117,0.0345798954542071
"ADAMTS9-AS2",1.54983593042214e-06,-0.291746622359563,0.116,0.228,0.0350541890742881
"PARD3B",1.58229345853212e-06,-0.590497665042355,0.048,0.13,0.0357883134450796
"PSPC1",1.58959088149246e-06,-0.276000142969877,0.147,0.269,0.0359533665575965
"TGFB2",1.69212941034911e-06,-0.532473739441779,0.041,0.119,0.0382725830032763
"SYNGR3",1.71530847432394e-06,-0.655397544524746,0.055,0.142,0.038796847072259
"MYO9B",1.71774523127104e-06,1.81664778234846,0.233,0.148,0.0388519616408884
"CACNG2",1.72739380566813e-06,-0.306599199207866,0.12,0.237,0.0390701930966017
"CNRIP1",1.72998650762945e-06,-0.609263233662809,0.063,0.152,0.039128834829563
"BEND6",1.74999044149714e-06,-0.761308375440076,0.072,0.165,0.0395812838057823
"TFG",1.76797439014523e-06,-0.47419213560471,0.054,0.139,0.0399880447563048
"KLHL42",1.82771589324159e-06,-0.316193741898913,0.104,0.215,0.0413392780733383
"PTBP3",1.83551188995252e-06,-0.482284614915486,0.063,0.152,0.0415156079269462
"TRAPPC12",1.84178908448635e-06,-0.410132630343259,0.082,0.182,0.0416575855129123
"SMARCD2",1.84917760118345e-06,2.33321255498602,0.1,0.035,0.0418246989835673
"RP11-410D17.2",1.86950263870966e-06,-0.747379927480565,0.036,0.11,0.042284410682335
"FBXO16",1.87309369438862e-06,-0.383067881221338,0.081,0.182,0.0423656331796818
"PIAS2",1.8788681226365e-06,-0.394125397882172,0.114,0.224,0.0424962391977924
"CSMD2",1.88512175710228e-06,-0.393227880293024,0.159,0.286,0.0426376839021393
"AMPH",1.90551833493105e-06,-0.496381211881809,0.152,0.274,0.0430990136994704
"ACTR2",1.94854111618943e-06,-0.365475245916333,0.089,0.195,0.0440721029659725
"EIF2AK2",1.97503875382918e-06,-0.490574827472737,0.082,0.183,0.0446714265341084
"NAP1L3",2.01641663157509e-06,-0.253300829593094,0.093,0.198,0.0456073113729653
"VDAC1",2.03384193428051e-06,-0.952168527951097,0.061,0.146,0.0460014368695566
"RP11-499P20.2",2.05602964455275e-06,-0.386225852318582,0.047,0.127,0.046503278500494
"GOLGA8A",2.08700256295334e-06,-0.460378754137993,0.084,0.182,0.0472038239688787
"SCOC",2.08963838375568e-06,-0.441037011773234,0.064,0.155,0.0472634409637861
"CCNC",2.12911977450059e-06,-0.902500875800504,0.047,0.126,0.0481564310596543
"HSP90AB1",2.13140614749792e-06,1.03173530895711,0.533,0.53,0.0482081442441081
"DTD1",2.15085058956331e-06,-0.443497538401707,0.089,0.193,0.048647938634743
"KCNQ1OT1",2.15651588171766e-06,-0.328102629069218,0.131,0.249,0.04877607621269
"NME4",2.16318840961324e-06,-0.35631117305619,0.05,0.132,0.0489269954486323
"TPRN",2.19013026850634e-06,2.34780853270407,0.116,0.047,0.0495363664130763
"ZNF462",2.20786174692466e-06,-0.45008338561214,0.086,0.186,0.0499374169919419
